id,device_id,name,lat,lng,address
20369,003T1380,光明大楼,31.237552,121.499099,金陵东路2号
20370,003T1236,新城饭店,31.24097,121.494049,江西中路180号后门（福州路口）
20371,003T1338,新世界名品城（灶）,31.244241,121.492153,南京东路228号
20372,003T1339,新世界名品城（炉）,31.244241,121.492153,南京东路228号
20373,003T1259,金钟广场,31.231834,121.484931,龙门路金陵中路
20374,003T3016,巴士大厦,31.216915,121.479503,建国东路525号
20375,003T2127,上海静安区人民检察院（炉）,31.237644,121.440979,昌平路1036号
20376,003T2070,普陀区人民医院（炉）,31.253129,121.447628,澳门路江宁路
20377,003T3020,裕兴大厦,31.203138,121.476415,瑞金南路345号
20378,003T3018,上海科学技术学会,31.223946,121.473247,南昌路59号
20379,003T1234,中联商厦,31.2429,121.489755,南京东路340号
20380,003T1371,证大金融（炉）,31.230535,121.504096,中华路东门路路口
20381,003T1372,证大金融（灶）,31.230535,121.504096,中华路东门路路口
20382,003T3025,上海交通大学医学院,31.218404,121.478867,重庆南路227号
20383,003T1312,企业天地,31.227059,121.483459,崇德路顺昌路
20384,003T1311,企业天地,31.227059,121.483459,崇德路顺昌路
20385,003T2055,西康静体,31.234171,121.458302,西康路99号
20386,003T1245,上海中星集团有限公司,31.233517,121.491618,人民路833号
20387,003T1285,丽都大酒店,31.239721,121.484315,汉口路678号
20388,003T1314,曙光医院,31.228865,121.486081,普安路185号
20389,003T1166,老饭店,31.233332,121.497308,福佑路242号
20390,003T1222,益丰外滩源,31.246003,121.495639,圆明园路88号
20391,003T1133,复旦大学附属妇产科医院,31.265435,121.540703,方斜路419号
20392,003T3034,上海礼兴酒店,31.223673,121.480887,马当路88号（嵩山路兴安路）
20393,003T3033,上海礼兴酒店,31.223673,121.480887,马当路88号（嵩山路兴安路）
20394,003T1002,上海书城,31.239149,121.488032,湖北路136号
20395,003T1189,上海体育俱乐部,31.203972,121.431867,南京西路150号后门
20396,003T1113,国际饭店（二楼）,31.239692,121.477867,黄河路28号
20397,003T1112,国际饭店（二楼）,31.239692,121.477867,黄河路28号
20398,003T1206,上海杏花楼股份有限公司鸿翔分公司,31.239644,121.477509,黄河路21号
20399,003T2137,九百城市广场,31.224759,121.429558,愚园路135
20400,003T2122,恒隆广场2号楼,31.234179,121.459409,南京西路1366号
20401,003T2123,恒隆广场2号楼,31.234179,121.459409,南京西路1366号
20402,003T2120,上海文化大厦,31.240246,121.456807,江宁路500号
20403,003T2012,上海通利杰生房地产有限公司,31.235815,121.465579,南京西路969号
20404,003T1274,色织三厂,31.208361,121.48961,汝南街63号
20405,003T1342,东方饭店,31.237525,121.499474,金陵东路1号
20406,003T1341,东方饭店,31.237525,121.499474,金陵东路1号
20407,003T1327,香港广场,31.229107,121.481557,淮海中路黄陂南路被
20408,003T1157,豫安阁商厦,31.231252,121.49947,方浜中路235号
20409,003T1346,复兴广场,31.224721,121.489361,成都路复兴路
20410,003T1161,扬子饭店,31.239332,121.482976,汉口路740号
20411,003T1160,扬子饭店,31.239332,121.482976,汉口路740号
20412,003T1322,解放日报,31.241101,121.489776,山东中路汉口路南
20413,003T1363,长征医院,31.239389,121.474701,凤阳路428号
20414,003T1268,上海吴宫大酒店,31.239304,121.488961,福州路431号
20415,003T1155,东海大厦,31.242594,121.489956,南京东路353号
20416,003T3026,国信广场,31.215849,121.477338,建国中路29号
20417,003T1378,上海骏兴房地产开发有限公司,31.222613,121.486617,济南路260弄
20418,003T2158,汇丽花园,31.245173,121.434286,长寿路822弄45支弄20号对面
20419,003T1376,上海交通大学医学院,31.206474,121.449564,思南路建国路
20420,003T2159,西康路1068号,31.247795,121.447785,西康路1068号
20421,003T1389,学府路59号四排楼路进,30.745621,121.323909,学府路59号四排楼路进
20422,000T1307,厦门路2,31.239205,121.48884,福建中路195号
20423,003T1042,上海绿苑大酒店,31.230315,121.505531,外咸瓜街39号
20424,003T1043,上海绿苑大酒店,31.230315,121.505531,外咸瓜街40号
20425,003T1392,中山南路119号,31.012482,121.240198,中山南路119号
20426,003T1397,上海乾鹏置业公司,31.234873,121.498202,人民路399号福民街24号对面www
20427,003T1394,外马路，老太平弄,31.224516,121.512585,中山南路109号
20428,003T1393,外马路老太平弄,31.229902,121.509043,中山南跑109号
20429,003T1145,中山南路909号,31.218239,121.51299,中山南路909号
20430,003T1396,泛海国际公寓一期,31.223915,121.505768,中华路518弄
20431,003T1374,黄浦区教师进修学院附属中山学校,31.200534,121.483712,龙华东路519号
20432,003T1373,黄浦区教师进修学院附属中山学校,31.200534,121.483712,龙华中路519号
20435,003T1402,南车站路国货路,31.215781,121.4983,南车站路169弄
20436,003T1114,金门大酒店,31.240303,121.47905,南京西跑108号新世界停车场进50米门卫旁
21040,003T2157,梅龙镇广场,31.234471,121.463026,南京西路江宁路
21041,003T2148,江宁奉贤,31.235398,121.462291,奉贤路江宁路口
21045,003T1336,统战大楼,31.208789,121.455559,延安路江西路口花坛里
27258,003T1127,新世界,31.238545,121.475359,凤阳路150号
27259,003T1132,黄浦体育,31.239411,121.491344,山东中路4号
27260,003T1192,洛克菲勒,31.226476,121.440757,圆明园路146号
27261,003T1193,洛克菲勒,31.226476,121.440757,圆明园路146号
27262,003T1194,上海源,31.248,121.495565,中山东一路33号
27263,003T1200,外滩源,31.248,121.495565,中山东一路33号
27264,003T2003,巨鹿大厦,31.224227,121.453573,巨鹿路915号常熟路口
27265,003T2004,鼎固,31.224505,121.454125,华山路322号
27266,003T2005,鼎固,31.396479,121.245067,华山路322号
27267,003T2018,会德丰,31.228038,121.451287,南京西路1717号
27268,003T2019,会德丰,31.228038,121.451287,南京西路1717号
27269,003T1251,国货路普育东路,31.213531,121.501804,普育东路200弄
27271,003T1046,东银大厦,31.237907,121.486254,浙江中路137号
27273,003T1058,外滩金融,31.238294,121.49421,延安东路222号
27274,003T1073,来福士,31.238312,121.483093,福州路728号
27275,003T1110,新世界,31.238545,121.475359,凤阳路150号
27276,003T1111,新世界,31.238545,121.475359,凤阳路150号
27277,003T1126,新世界,31.238545,121.475359,凤阳路150号
27278,003T1037,仙乐斯,31.237406,121.476162,南京西路338号
27279,003T2090,威海电视台,31.233524,121.471606,威海路青海路
27280,003T1365,玖海实业公司,31.224298,121.465315,陕西南路85号
27281,003T1239,美欣大厦,31.247618,121.490476,南苏州河路
27282,003T1276,保屯路288弄,31.206843,121.499748,保屯路288弄
27283,003T1277,保屯路288弄,31.206843,121.499748,保屯路288弄
27284,003T1401,马当路430号,31.219442,121.481899,马当路430号
27285,003T1278,淡水复兴,31.220073,121.480173,淡水路合肥路口
27286,003T1308,置地广场,31.24277,121.485551,九江路394号近山西南路
27287,003T1138,金豫商厦,31.230601,121.498054,方浜中路280号
27288,003T1154,浦东发展银行,31.244041,121.483901,北京东路689号
27289,003T1169,黄浦分局,31.205123,121.487602,云南中路238弄3号
27290,003T1184,和平饭店,31.244819,121.495665,南京东路20号
27291,003T1185,和平饭店,31.244819,121.495665,南京东路20号
27292,003T1197,上海新联谊大厦,31.249105,121.492449,广东路四川中路
27293,003T1198,上海新联谊大厦,31.249105,121.492449,广东路四川中路
27294,003T1209,黄浦众鑫城,31.225719,121.489413,西藏南路555弄
27295,003T1210,中福房产置业公司,31.30264,121.160153,汉口路616号
27296,003T1211,中福房产置业公司,31.30264,121.160153,汉口路616号
27297,003T1212,多福广场,31.236887,121.484195,西藏中路168号
27298,003T1221,海通证券大厦,31.231356,121.487761,云南中路91号对面
27299,003T1407,人民广场,31.233594,121.478668,靠武胜路（中间的房间）
27300,003T1228,金帆大厦,31.233589,121.478891,大沽路100号（武胜路黄陂路口）
27301,003T1229,金帆大厦,31.233589,121.478891,大沽路100号（武胜路黄陂路口）
27302,003T1231,老正兴菜馆,31.238558,121.486767,福州路555号
27303,003T3019,瑞金医院,31.216441,121.475602,思南路72号
27304,003T3049,瑞金医院,31.216441,121.475602,思南路72号
27305,003T1244,杏花楼酒家,31.239752,121.490297,福州路343号
27306,003T2093,北京俏江南,31.229153,121.45991,延安中路881号
27307,003T2023,世纪静安,31.228881,121.450139,南京西路1788号
27308,003T2024,世纪静安,31.228881,121.450139,南京西路1788号
27309,003T2033,吉臣酒店,31.234122,121.436456,万航渡路810-838号
27310,003T1343,外滩英迪格酒店,31.23203,121.506483,中山东二路585号近东门路
27311,003T1344,外滩英迪格酒店,31.23203,121.506483,中山东二路585号近东门路
37315,003T2115,上海希尔顿大酒店,31.225664,121.451728,华山路250号
37316,003T2061,上海静安香格里拉大酒店,31.229335,121.456988,南京西路1559号
37317,003T2054,上海静安香格里拉大酒店,31.229335,121.456988,南京西路1559号
37318,003T2052,上海静安香格里拉大酒店,31.229335,121.456988,南京西路1559号
37319,003T1291,上海豫园大酒店,31.233252,121.494585,河南南路159号
37320,003T1292,上海豫园大酒店,31.233252,121.494585,河南南路159号
37321,003T3010,上海斯格威铂尔曼大酒店,31.213598,121.474671,打浦路53号
37322,003T3011,上海斯格威铂尔曼大酒店,31.213598,121.474671,打浦路53号
37324,003T2017,上海锦江饭店,31.226146,121.467737,茂名南路59号
37325,003T1332,瑞金宾馆,31.220191,121.471351,复兴中路593号
37326,003T2129,静安区中心医院,31.237016,121.456249,西康路259号
37327,003T2119,上海市儿童医院,31.236207,121.454733,北京西路1400弄
37328,003T2020,百乐门大酒店,31.228883,121.451163,南京西路1730号
37329,003T2021,百乐门大酒店,31.228883,121.451163,南京西路1730号
37330,003T1283,香港广场,31.228842,121.481679,淮海中路283号
37331,003T1284,香港广场,31.228842,121.481679,淮海中路283号
37332,003T1282,金钟广场,31.231519,121.485636,淮海中路98号
37333,003T1223,美华大厦,31.244777,121.479639,西藏路厦门路
37334,003T1224,美华大厦,31.244777,121.479639,西藏路厦门路
37335,003T1240,美欣大厦,31.245758,121.47963,西藏中路728号
